# Battino yields
# Model: m2z1m3
# Set: set1.01
# Mini: 2.00
# Mfinal: 0.682099511659186
# Created by Daniel Boyea on 2024-12-04
isotope       mass_yield     X0      
Ba-135         3.5043e-11     1.1750e-11
Ba-136         1.9093e-10     1.4101e-11
Ba-137         1.7080e-10     2.0317e-11
Ba-138         2.2543e-09     1.3064e-10
Ba-139         2.2558e-25     1.0000e-99
Ba-140         9.7871e-38     1.0000e-99
Ba-141         1.3185e-99     1.0000e-99
Ba-142         1.3185e-99     1.0000e-99
La-127         1.3185e-99     1.0000e-99
La-128         1.3185e-99     1.0000e-99
La-129         1.3185e-99     1.0000e-99
La-130         1.3185e-99     1.0000e-99
La-131         1.3185e-99     1.0000e-99
La-132         1.3185e-99     1.0000e-99
La-133         1.3185e-99     1.0000e-99
La-134         1.3185e-99     1.0000e-99
La-135         1.3185e-99     1.0000e-99
La-136         1.3185e-99     1.0000e-99
La-137         4.4245e-19     1.0000e-99
La-138         2.0376e-14     1.6055e-14
La-139         2.7462e-10     1.7918e-11
La-140         9.8198e-23     1.0000e-99
La-141         1.2166e-37     1.0000e-99
La-142         1.3185e-99     1.0000e-99
La-143         1.3185e-99     1.0000e-99
Ce-130         1.3185e-99     1.0000e-99
Ce-131         1.3185e-99     1.0000e-99
Ce-132         1.3185e-99     1.0000e-99
Ce-133         1.3185e-99     1.0000e-99
Ce-134         1.3185e-99     1.0000e-99
Ce-135         1.3185e-99     1.0000e-99
Ce-136         1.0742e-13     8.3893e-14
Ce-137         2.3656e-26     1.0000e-99
